Background Topic: 
people :0.06505319580930724
love :0.0244457077885162
phone :0.0244457077885162
facebook :0.0244457077885162
game :0.0244457077885162
wanna :0.0244457077885162
show :0.0244457077885162
user :0.016324210184357993
good :0.016324210184357993
socialmedia :0.016324210184357993
tech :0.016324210184357993
sleep :0.016324210184357993
telling :0.016324210184357993
follow :0.016324210184357993
tumblr :0.016324210184357993
iphone :0.008202712580199788
youtube :0.008202712580199788
move :0.008202712580199788
android :0.008202712580199788
sense :0.008202712580199788
great :0.008202712580199788
hope :0.008202712580199788
lol :0.008202712580199788
find :0.008202712580199788
wow :0.008202712580199788
ipads :0.008202712580199788
trip :0.008202712580199788
free :0.008202712580199788
today :0.008202712580199788
education :0.008202712580199788
website :0.008202712580199788
sweet :0.008202712580199788
useless :0.008202712580199788
itunes :0.008202712580199788
set :0.008202712580199788
million :0.008202712580199788
steve :0.008202712580199788
incredible :0.008202712580199788
problem :0.008202712580199788
debut :0.008202712580199788
update :0.008202712580199788
works :0.008202712580199788
year :0.008202712580199788
god :0.008202712580199788
middle :0.008202712580199788
beautiful :0.008202712580199788
day :0.008202712580199788
genius :0.008202712580199788
boo :0.008202712580199788
metro :0.008202712580199788
agree :0.008202712580199788
freaking :0.008202712580199788
beam :0.008202712580199788
team :0.008202712580199788
start :0.008202712580199788
back :0.008202712580199788
vslive :0.008202712580199788
sql :0.008202712580199788
vmware :0.008202712580199788
feeling :0.008202712580199788
step :0.008202712580199788
cool :0.008202712580199788
playful :0.008202712580199788
marketing :0.008202712580199788
picture :0.008202712580199788
talk :0.008202712580199788
surface :0.008202712580199788
sucks :0.008202712580199788
past :0.008202712580199788
join :0.008202712580199788
shit :0.008202712580199788
fucking :0.008202712580199788
internet :0.008202712580199788
exam :0.008202712580199788
favorite :0.008202712580199788
television :0.008202712580199788
isn :0.008202712580199788
funny :0.008202712580199788
continued :0.008202712580199788
reporting :0.008202712580199788
retweets :0.008202712580199788
technical :0.008202712580199788
tweets :0.008202712580199788
point :0.008202712580199788
opinions :0.008202712580199788
blogs :0.008202712580199788
aye :0.008202712580199788
shout :0.008202712580199788
girls :0.008202712580199788
crack :8.121497604158207E-5
adding :8.121497604158207E-5
support :8.121497604158207E-5
announced :8.121497604158207E-5
video :8.121497604158207E-5
guy :8.121497604158207E-5
siri :8.121497604158207E-5
pretty :8.121497604158207E-5
rim :8.121497604158207E-5
made :8.121497604158207E-5
easy :8.121497604158207E-5
