Topic:1
mentions :0.053374151470783976
gotta :0.040063889258618396
icloud :0.040063889258618396
reader :0.040063889258618396
agree :0.040063889258618396
damn :0.040063889258618396
current :0.026753627046452812
learning :0.026753627046452812
apps :0.026753627046452812
happy :0.026753627046452812
integrated :0.026753627046452812
compares :0.026753627046452812
albatross :0.026753627046452812
neck :0.026753627046452812
join :0.026753627046452812
shit :0.026753627046452812
apply :0.013443364834287236
trip :0.013443364834287236
kong :0.013443364834287236
iphones :0.013443364834287236
education :0.013443364834287236
brother :0.013443364834287236
morning :0.013443364834287236
manager :0.013443364834287236
freaking :0.013443364834287236
school :0.013443364834287236
opens :0.013443364834287236
door :0.013443364834287236
spanish :0.013443364834287236
entrepreneurs :0.013443364834287236
ballmer :0.013443364834287236
thinks :0.013443364834287236
kinect :0.013443364834287236
science :0.013443364834287236
skype :0.013443364834287236
discussion :0.013443364834287236
leave :0.013443364834287236
bored :0.013443364834287236
true :0.013443364834287236
friend :0.013443364834287236
real :0.013443364834287236
kidding :0.013443364834287236
wth :0.013443364834287236
updating :0.013443364834287236
timeline :0.013443364834287236
iphone :1.331026221216558E-4
crack :1.331026221216558E-4
adding :1.331026221216558E-4
support :1.331026221216558E-4
announced :1.331026221216558E-4
youtube :1.331026221216558E-4
video :1.331026221216558E-4
guy :1.331026221216558E-4
siri :1.331026221216558E-4
pretty :1.331026221216558E-4
love :1.331026221216558E-4
rim :1.331026221216558E-4
made :1.331026221216558E-4
easy :1.331026221216558E-4
switch :1.331026221216558E-4
yeah :1.331026221216558E-4
realized :1.331026221216558E-4
ios :1.331026221216558E-4
blackberry :1.331026221216558E-4
user :1.331026221216558E-4
bit :1.331026221216558E-4
disappointed :1.331026221216558E-4
move :1.331026221216558E-4
android :1.331026221216558E-4
things :1.331026221216558E-4
sooo :1.331026221216558E-4
glad :1.331026221216558E-4
gave :1.331026221216558E-4
sense :1.331026221216558E-4
humor :1.331026221216558E-4
great :1.331026221216558E-4
personal :1.331026221216558E-4
event :1.331026221216558E-4
tonight :1.331026221216558E-4
store :1.331026221216558E-4
companies :1.331026221216558E-4
experience :1.331026221216558E-4
customer :1.331026221216558E-4
service :1.331026221216558E-4
job :1.331026221216558E-4
hope :1.331026221216558E-4
call :1.331026221216558E-4
lol :1.331026221216558E-4
lmao :1.331026221216558E-4
find :1.331026221216558E-4
hide :1.331026221216558E-4
body :1.331026221216558E-4
registered :1.331026221216558E-4
developer :1.331026221216558E-4
appreciated :1.331026221216558E-4
wow :1.331026221216558E-4
deals :1.331026221216558E-4
ipad :1.331026221216558E-4
gen :1.331026221216558E-4
offers :1.331026221216558E-4

Topic:2
mango :0.10223533416543742
smartphone :0.0795415862929763
shows :0.0795415862929763
glad :0.05684783842051515
research :0.04550096448428458
science :0.04550096448428458
success :0.03415409054805401
design :0.03415409054805401
taste :0.03415409054805401
bed :0.03415409054805401
application :0.02280721661182344
presentations :0.02280721661182344
beam :0.02280721661182344
fact :0.02280721661182344
nokia :0.02280721661182344
antitrust :0.02280721661182344
keyboard :0.011460342675592875
break :0.011460342675592875
talking :0.011460342675592875
bad :0.011460342675592875
hear :0.011460342675592875
forget :0.011460342675592875
schedule :0.011460342675592875
sound :0.011460342675592875
news :0.011460342675592875
beating :0.011460342675592875
speaking :0.011460342675592875
leaving :0.011460342675592875
business :0.011460342675592875
dumb :0.011460342675592875
executive :0.011460342675592875
past :0.011460342675592875
issues :0.011460342675592875
minute :0.011460342675592875
favorite :0.011460342675592875
trouble :0.011460342675592875
stupid :0.011460342675592875
iphone :1.1346873936230569E-4
crack :1.1346873936230569E-4
adding :1.1346873936230569E-4
support :1.1346873936230569E-4
announced :1.1346873936230569E-4
youtube :1.1346873936230569E-4
video :1.1346873936230569E-4
guy :1.1346873936230569E-4
siri :1.1346873936230569E-4
pretty :1.1346873936230569E-4
love :1.1346873936230569E-4
rim :1.1346873936230569E-4
made :1.1346873936230569E-4
easy :1.1346873936230569E-4
switch :1.1346873936230569E-4
yeah :1.1346873936230569E-4
realized :1.1346873936230569E-4
ios :1.1346873936230569E-4
current :1.1346873936230569E-4
blackberry :1.1346873936230569E-4
user :1.1346873936230569E-4
bit :1.1346873936230569E-4
disappointed :1.1346873936230569E-4
move :1.1346873936230569E-4
android :1.1346873936230569E-4
things :1.1346873936230569E-4
sooo :1.1346873936230569E-4
gave :1.1346873936230569E-4
sense :1.1346873936230569E-4
humor :1.1346873936230569E-4
great :1.1346873936230569E-4
personal :1.1346873936230569E-4
event :1.1346873936230569E-4
tonight :1.1346873936230569E-4
store :1.1346873936230569E-4
companies :1.1346873936230569E-4
experience :1.1346873936230569E-4
customer :1.1346873936230569E-4
service :1.1346873936230569E-4
apply :1.1346873936230569E-4
job :1.1346873936230569E-4
hope :1.1346873936230569E-4
call :1.1346873936230569E-4
lol :1.1346873936230569E-4
lmao :1.1346873936230569E-4
find :1.1346873936230569E-4
hide :1.1346873936230569E-4
body :1.1346873936230569E-4
registered :1.1346873936230569E-4
developer :1.1346873936230569E-4
appreciated :1.1346873936230569E-4
wow :1.1346873936230569E-4
deals :1.1346873936230569E-4
ipad :1.1346873936230569E-4
gen :1.1346873936230569E-4
offers :1.1346873936230569E-4
ipads :1.1346873936230569E-4
learning :1.1346873936230569E-4
trip :1.1346873936230569E-4
hong :1.1346873936230569E-4
kong :1.1346873936230569E-4
gotta :1.1346873936230569E-4
hand :1.1346873936230569E-4

Topic:3
android :0.22211184479635365
cream :0.1403026938584702
ice :0.1344591830771928
sandwich :0.122772161514638
ics :0.11108513995208322
face :0.02343247823292234
wait :0.02343247823292234
introducing :0.02343247823292234
excited :0.02343247823292234
features :0.017588967451644948
unlock :0.017588967451644948
job :0.011745456670367556
imo :0.011745456670367556
samsung :0.011745456670367556
delicious :0.011745456670367556
exciting :0.005901945889090166
sounds :0.005901945889090166
version :0.005901945889090166
ready :0.005901945889090166
operating :0.005901945889090166
photo :0.005901945889090166
family :0.005901945889090166
kill :0.005901945889090166
broke :0.005901945889090166
iphone :5.843510781277392E-5
crack :5.843510781277392E-5
adding :5.843510781277392E-5
support :5.843510781277392E-5
announced :5.843510781277392E-5
youtube :5.843510781277392E-5
video :5.843510781277392E-5
guy :5.843510781277392E-5
siri :5.843510781277392E-5
pretty :5.843510781277392E-5
love :5.843510781277392E-5
rim :5.843510781277392E-5
made :5.843510781277392E-5
easy :5.843510781277392E-5
switch :5.843510781277392E-5
yeah :5.843510781277392E-5
realized :5.843510781277392E-5
ios :5.843510781277392E-5
current :5.843510781277392E-5
blackberry :5.843510781277392E-5
user :5.843510781277392E-5
bit :5.843510781277392E-5
disappointed :5.843510781277392E-5
move :5.843510781277392E-5
things :5.843510781277392E-5
sooo :5.843510781277392E-5
glad :5.843510781277392E-5
gave :5.843510781277392E-5
sense :5.843510781277392E-5
humor :5.843510781277392E-5
great :5.843510781277392E-5
personal :5.843510781277392E-5
event :5.843510781277392E-5
tonight :5.843510781277392E-5
store :5.843510781277392E-5
companies :5.843510781277392E-5
experience :5.843510781277392E-5
customer :5.843510781277392E-5
service :5.843510781277392E-5
apply :5.843510781277392E-5
hope :5.843510781277392E-5
call :5.843510781277392E-5
lol :5.843510781277392E-5
lmao :5.843510781277392E-5
find :5.843510781277392E-5
hide :5.843510781277392E-5
body :5.843510781277392E-5
registered :5.843510781277392E-5
developer :5.843510781277392E-5
appreciated :5.843510781277392E-5
wow :5.843510781277392E-5
deals :5.843510781277392E-5
ipad :5.843510781277392E-5
gen :5.843510781277392E-5
offers :5.843510781277392E-5
ipads :5.843510781277392E-5
learning :5.843510781277392E-5
trip :5.843510781277392E-5
hong :5.843510781277392E-5
kong :5.843510781277392E-5
gotta :5.843510781277392E-5
hand :5.843510781277392E-5
iphones :5.843510781277392E-5
apps :5.843510781277392E-5
dark :5.843510781277392E-5
side :5.843510781277392E-5
hey :5.843510781277392E-5
send :5.843510781277392E-5
free :5.843510781277392E-5
publicly :5.843510781277392E-5
burn :5.843510781277392E-5
mac :5.843510781277392E-5
air :5.843510781277392E-5
macbook :5.843510781277392E-5
keyboard :5.843510781277392E-5
lunch :5.843510781277392E-5

Topic:4
great :0.10905293743757379
store :0.0908925814945973
service :0.07273222555162082
phone :0.045491691637156086
customer :0.027331335694179604
hand :0.027331335694179604
post :0.027331335694179604
watching :0.027331335694179604
powerpoint :0.027331335694179604
crack :0.018251157722691362
lunch :0.018251157722691362
years :0.018251157722691362
forward :0.018251157722691362
case :0.018251157722691362
lost :0.018251157722691362
moving :0.018251157722691362
card :0.018251157722691362
genius :0.018251157722691362
local :0.018251157722691362
office :0.018251157722691362
conference :0.018251157722691362
blog :0.018251157722691362
vslive :0.018251157722691362
blackberry :0.009170979751203123
companies :0.009170979751203123
warranty :0.009170979751203123
amount :0.009170979751203123
question :0.009170979751203123
mention :0.009170979751203123
received :0.009170979751203123
world :0.009170979751203123
cards :0.009170979751203123
arrived :0.009170979751203123
usage :0.009170979751203123
icecream :0.009170979751203123
addthis :0.009170979751203123
gadget :0.009170979751203123
officially :0.009170979751203123
spend :0.009170979751203123
hard :0.009170979751203123
create :0.009170979751203123
solutions :0.009170979751203123
feeling :0.009170979751203123
bringing :0.009170979751203123
advertising :0.009170979751203123
care :0.009170979751203123
reminder :0.009170979751203123
night :0.009170979751203123
iphone :9.080177971488242E-5
adding :9.080177971488242E-5
support :9.080177971488242E-5
announced :9.080177971488242E-5
youtube :9.080177971488242E-5
video :9.080177971488242E-5
guy :9.080177971488242E-5
siri :9.080177971488242E-5
pretty :9.080177971488242E-5
love :9.080177971488242E-5
rim :9.080177971488242E-5
made :9.080177971488242E-5
easy :9.080177971488242E-5
switch :9.080177971488242E-5
yeah :9.080177971488242E-5
realized :9.080177971488242E-5
ios :9.080177971488242E-5
current :9.080177971488242E-5
user :9.080177971488242E-5
bit :9.080177971488242E-5
disappointed :9.080177971488242E-5
move :9.080177971488242E-5
android :9.080177971488242E-5
things :9.080177971488242E-5
sooo :9.080177971488242E-5
glad :9.080177971488242E-5
gave :9.080177971488242E-5
sense :9.080177971488242E-5
humor :9.080177971488242E-5
personal :9.080177971488242E-5
event :9.080177971488242E-5
tonight :9.080177971488242E-5
experience :9.080177971488242E-5
apply :9.080177971488242E-5
job :9.080177971488242E-5
hope :9.080177971488242E-5
call :9.080177971488242E-5
lol :9.080177971488242E-5
lmao :9.080177971488242E-5
find :9.080177971488242E-5
hide :9.080177971488242E-5
body :9.080177971488242E-5
registered :9.080177971488242E-5
developer :9.080177971488242E-5
appreciated :9.080177971488242E-5
wow :9.080177971488242E-5
deals :9.080177971488242E-5
ipad :9.080177971488242E-5
gen :9.080177971488242E-5
offers :9.080177971488242E-5
ipads :9.080177971488242E-5
learning :9.080177971488242E-5

Topic:5
ios :0.19796476019975504
awesome :0.11316310185621407
world :0.05662866296052012
feature :0.047206256477904454
bit :0.0377838499952888
love :0.028361443512673137
loving :0.028361443512673137
top :0.028361443512673137
change :0.028361443512673137
messed :0.028361443512673137
easter :0.018939037030057476
eggs :0.018939037030057476
pull :0.018939037030057476
bottom :0.018939037030057476
pulls :0.018939037030057476
powered :0.018939037030057476
closer :0.018939037030057476
numbers :0.018939037030057476
user :0.009516630547441817
great :0.009516630547441817
hong :0.009516630547441817
phone :0.009516630547441817
